10760,NuNuCa Nuß-Nougat-Creme,Confections,14,12,Maison Dewey,Bruxelles,Belgium,1/1/2016
10760,Schoggi Schokolade,Confections,"43,9",40,Maison Dewey,Bruxelles,Belgium,1/1/2016
10760,Ipoh Coffee,Beverages,46,30,Maison Dewey,Bruxelles,Belgium,1/1/2016
10761,Rhönbräu Klosterbier,Beverages,"7,75",18,Rattlesnake Canyon Grocery,Albuquerque,USA,2/1/2016
10761,NuNuCa Nuß-Nougat-Creme,Confections,14,35,Rattlesnake Canyon Grocery,Albuquerque,USA,2/1/2016
10762,Gnocchi di nonna Alice,Grains/Cereals,38,60,Folk och fä HB,Bräcke,Sweden,2/1/2016
10762,Manjimup Dried Apples,Produce,53,28,Folk och fä HB,Bräcke,Sweden,2/1/2016
10762,Chartreuse verte,Beverages,18,16,Folk och fä HB,Bräcke,Sweden,2/1/2016
10762,Zaanse koeken,Confections,"9,5",30,Folk och fä HB,Bräcke,Sweden,2/1/2016
10763,Sir Rodney's Scones,Confections,10,40,Folies gourmandes,Lille,France,3/1/2016
10763,Gustaf's Knäckebröd,Grains/Cereals,21,6,Folies gourmandes,Lille,France,3/1/2016
10763,Guaraná Fantástica,Beverages,"4,5",20,Folies gourmandes,Lille,France,3/1/2016
10764,Aniseed Syrup,Condiments,10,20,Ernst Handel,Graz,Austria,3/1/2016
10764,Chartreuse verte,Beverages,18,130,Ernst Handel,Graz,Austria,3/1/2016
10765,Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",80,QUICK-Stop,Cunewalde,Germany,4/1/2016
10766,Chang,Beverages,19,40,Ottilies Käseladen,Köln,Germany,5/1/2016
10766,Uncle Bob's Organic Dried Pears,Produce,30,35,Ottilies Käseladen,Köln,Germany,5/1/2016
10766,Scottish Longbreads,Confections,"12,5",40,Ottilies Käseladen,Köln,Germany,5/1/2016
10767,Singaporean Hokkien Fried Mee,Grains/Cereals,14,2,Suprêmes délices,Charleroi,Belgium,5/1/2016
10768,Gorgonzola Telino,Dairy Products,"12,5",50,Around the Horn,Colchester,UK,8/1/2016
10768,Camembert Pierrot,Dairy Products,34,15,Around the Horn,Colchester,UK,8/1/2016
10768,Gustaf's Knäckebröd,Grains/Cereals,21,4,Around the Horn,Colchester,UK,8/1/2016
10768,Fløtemysost,Dairy Products,"21,5",12,Around the Horn,Colchester,UK,8/1/2016
10769,Jack's New England Clam Chowder,Seafood,"9,65",30,Vaffeljernet,Århus,Denmark,8/1/2016
10769,Filo Mix,Grains/Cereals,7,15,Vaffeljernet,Århus,Denmark,8/1/2016
10769,Sirop d'érable,Condiments,"28,5",20,Vaffeljernet,Århus,Denmark,8/1/2016
10769,Tarte au sucre,Confections,"49,3",15,Vaffeljernet,Århus,Denmark,8/1/2016
10770,Queso Cabrales,Dairy Products,21,15,Hanari Carnes,Rio de Janeiro,Brazil,9/1/2016
10771,Fløtemysost,Dairy Products,"21,5",16,Ernst Handel,Graz,Austria,10/1/2016
10772,Thüringer Rostbratwurst,Meat/Poultry,"123,79",18,Lehmanns Marktstand,Frankfurt a.M. ,Germany,10/1/2016
10772,Raclette Courdavault,Dairy Products,55,25,Lehmanns Marktstand,Frankfurt a.M. ,Germany,10/1/2016
10773,Alice Mutton,Meat/Poultry,39,33,Ernst Handel,Graz,Austria,11/1/2016
10773,Gorgonzola Telino,Dairy Products,"12,5",70,Ernst Handel,Graz,Austria,11/1/2016
10773,Rhönbräu Klosterbier,Beverages,"7,75",7,Ernst Handel,Graz,Austria,11/1/2016
10774,Gorgonzola Telino,Dairy Products,"12,5",2,Folk och fä HB,Bräcke,Sweden,11/1/2016
10774,Louisiana Hot Spiced Okra,Condiments,17,50,Folk och fä HB,Bräcke,Sweden,11/1/2016
